wife_age,husband_under_20,husband_20_24,husband_25_29,husband_30_34,husband_35_39,husband_40_44,husband_45_54,husband_55_64,husband_65_over,husband_total
wife_under_35,91,1239,1615,2141,1248,325,496,101,0,7256
wife_35_39,0,181,427,1056,1779,1951,2970,649,221,9234
wife_40_44,0,20,40,395,346,1846,4862,3651,1293,12453
wife_45_54,0,0,0,20,21,81,808,3827,4262,9019
wife_55_over,0,0,0,0,20,0,30,870,4303,5223
wife_total,91,1440,2082,3612,3414,4203,9166,9098,10079,43185
