wife_age,husband_under_20,husband_20_24,husband_25_29,husband_30_34,husband_35_39,husband_40_44,husband_45_54,husband_55_64,husband_65_over,husband_total
wife_under_20,103073,185103,27434,3722,1148,452,310,41,10,321293
wife_20_24,9023,157063,63732,16124,4239,1438,735,72,20,252446
wife_25_29,194,7856,21391,11101,4985,2168,820,122,60,48697
wife_30_34,20,1002,3814,6069,4764,1856,1236,298,101,19160
wife_35_39,0,112,688,1648,2139,2034,1559,944,163,9287
wife_40_44,0,1,40,331,669,1467,1958,773,211,5450
wife_45_54,0,0,0,120,55,785,2197,1472,716,5345
wife_55_over,0,0,0,1,100,1,251,799,1035,2187
wife_total,112310,351137,117099,39116,18099,10201,9066,4521,2316,663865
