wife_age,husband_under_20,husband_20_24,husband_25_29,husband_30_34,husband_35_39,husband_40_44,husband_45_54,husband_55_64,husband_65_over,husband_total
wife_under_25,1119,12015,9037,3532,801,548,245,0,20,27317
wife_25_29,82,3816,8479,6229,2778,961,1221,222,60,23848
wife_30_34,40,767,3968,5155,4738,2175,2813,143,90,19889
wife_35_39,0,157,844,2497,5239,3776,3483,577,21,16594
wife_40_44,0,50,316,849,1873,3632,3878,1222,122,11942
wife_45_54,0,30,111,270,474,1421,6597,3743,1192,13838
wife_55_over,0,0,0,0,1,80,547,1723,1889,4240
wife_total,1241,16835,22755,18532,15904,12593,18784,7630,3394,117668
